,id,rodada_id,pontos,preco,variacao,media,apelido,ult_pontuacao,scout,posicao,clube,status,em_casa
1184,72097,22,0.0,6.18,0.0,3.4,Giovanni,2.7,"{'CA': 1, 'FC': 4, 'FF': 1, 'FS': 1, 'PE': 13, 'RB': 7, 'SG': 4}",lat,BAH,Provável,0
1220,68901,22,0.0,1.64,0.0,0.65,Rodrigo Pimpão,0.0,"{'A': 3, 'CA': 6, 'FC': 26, 'FD': 6, 'FF': 9, 'FS': 6, 'I': 2, 'PE': 39, 'RB': 11}",ata,BOT,Nulo,0
1232,68928,22,0.0,3.99,0.0,2.73,Rafael,0.0,"{'DD': 5, 'FS': 1, 'GS': 6, 'PE': 1, 'SG': 1}",gol,CRU,Nulo,1
1256,68930,22,0.0,3.37,0.0,0.88,Kieza,0.0,"{'FC': 9, 'FD': 4, 'FF': 5, 'FS': 13, 'I': 1, 'PE': 2}",ata,FOR,Provável,1
1280,72359,22,0.0,9.0,0.0,1.62,Luiz Otávio,11.1,"{'A': 1, 'CA': 5, 'FC': 21, 'FD': 1, 'FF': 2, 'FS': 9, 'PE': 17, 'RB': 18, 'SG': 4}",zag,CEA,Provável,0
1292,72290,22,0.0,6.4,0.0,1.0,Jailson,0.0,"{'DD': 4, 'GS': 3}",gol,PAL,Nulo,1
1304,68925,22,0.0,3.54,0.0,0.79,Leonardo Silva,0.0,"{'CA': 5, 'FC': 9, 'FD': 2, 'FS': 9, 'FT': 1, 'PE': 10, 'RB': 9}",zag,ATL,Nulo,0
1316,72079,22,0.0,6.57,0.0,4.43,Bruno Cortez,3.6,"{'A': 2, 'FC': 10, 'FS': 12, 'G': 1, 'I': 4, 'PE': 23, 'RB': 11, 'SG': 3}",lat,GRE,Provável,1
1352,68938,22,0.0,4.32,0.0,1.76,Giovanni Augusto,0.0,"{'A': 1, 'CA': 1, 'CV': 1, 'FC': 16, 'FD': 6, 'FF': 8, 'FS': 15, 'PE': 37, 'RB': 14}",mei,GOI,Nulo,1
1412,72372,22,0.0,8.2,0.0,3.33,Felipe Alves,0.0,"{'CA': 3, 'DD': 34, 'DP': 1, 'FC': 1, 'FS': 1, 'GS': 24, 'PE': 22, 'SG': 3}",gol,FOR,Contundido,1
1436,72497,22,0.0,6.23,0.0,4.53,Gustavo Campanharo,0.0,"{'A': 1, 'FC': 26, 'FD': 4, 'FF': 10, 'FS': 31, 'G': 1, 'PE': 33, 'RB': 40}",mei,CHA,Nulo,0
1484,69010,22,0.0,1.19,0.0,-0.65,João Carlos,0.0,"{'CV': 1, 'DD': 1, 'FC': 1, 'FS': 1, 'GS': 2, 'PE': 1, 'SG': 1}",gol,CSA,Dúvida,1
1520,72494,22,0.0,3.07,0.0,1.3,Celsinho,-1.0,"{'CA': 1, 'FC': 4, 'FS': 1, 'PE': 16, 'RB': 5, 'SG': 1}",lat,CSA,Nulo,1
1532,68952,22,0.0,6.0,0.0,3.24,Marinho,2.1,"{'A': 1, 'CA': 6, 'CV': 1, 'FC': 28, 'FD': 11, 'FF': 12, 'FS': 44, 'FT': 1, 'G': 3, 'I': 4, 'PE': 29, 'RB': 19}",ata,SAN,Suspenso,1
1544,73281,22,0.0,7.0,0.0,0.0,Renê Júnior,0.0,"{'FC': 1, 'FS': 3, 'PE': 1, 'RB': 1}",mei,COR,Nulo,0
1556,69008,22,0.0,2.0,0.0,0.0,Neto,0.0,{},zag,CHA,Contundido,0
1568,69040,22,0.0,5.28,0.0,3.97,Vladimir,6.7,"{'CA': 2, 'DD': 43, 'FS': 2, 'GS': 30, 'PE': 5, 'SG': 7}",gol,AVA,Provável,1
1616,73446,22,0.0,6.0,0.0,0.0,Éderson,0.0,{},ata,FOR,Nulo,1
1664,73465,22,0.0,3.0,0.0,0.0,Luccas Claro,0.0,{},zag,FLU,Nulo,0
1676,69047,22,0.0,3.66,0.0,0.68,Paulo Roberto,0.0,"{'FC': 5, 'FF': 1, 'FS': 7, 'PE': 7, 'RB': 2}",mei,FOR,Nulo,1
1688,69051,22,0.0,7.35,0.0,8.23,Danilo Fernandes,0.0,"{'DD': 8, 'GS': 2, 'PE': 1, 'SG': 1}",gol,INT,Nulo,0
1700,73501,22,0.0,1.68,0.0,0.53,Julinho,0.0,"{'CA': 2, 'FC': 4, 'FD': 2, 'FF': 2, 'FS': 3, 'PE': 9, 'RB': 6}",mei,AVA,Nulo,1
1736,69288,22,0.0,5.34,0.0,0.2,Gamarra,0.0,"{'FC': 2, 'FF': 1, 'PE': 3, 'RB': 1}",ata,CSA,Nulo,1
1760,73513,22,0.0,3.04,0.0,1.58,Maranhão,0.0,"{'FC': 12, 'FD': 1, 'FF': 3, 'FS': 18, 'G': 1, 'I': 4, 'PE': 14, 'RB': 6}",ata,CSA,Nulo,1
1784,73540,22,0.0,9.4,0.0,2.95,Rogério,-0.6,"{'FC': 7, 'FD': 6, 'FF': 4, 'FS': 14, 'G': 1, 'I': 3, 'PE': 9, 'RB': 3}",ata,BAH,Nulo,0
1808,73533,22,0.0,2.69,0.0,2.0,Glédson,0.0,"{'DD': 2, 'GS': 2}",gol,AVA,Nulo,1
